geneID	geneSymbol	bioType	length	geneInfo	chromosome	start	end
ENSG00000000003.14	TSPAN6	protein_coding	3796	tetraspanin 6	chrX	100627108	100639991
ENSG00000000005.6	TNMD	protein_coding	873.5	tenomodulin	chrX	100584936	100599885
ENSG00000000419.12	DPM1	protein_coding	1078.79	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	chr20	50934867	50959140
ENSG00000000457.14	SCYL3	protein_coding	3611.87	SCY1 like pseudokinase 3	chr1	169849631	169894267
ENSG00000000460.17	C1orf112	protein_coding	1629.79	chromosome 1 open reading frame 112	chr1	169662007	169854080
ENSG00000000938.13	FGR	protein_coding	2165.06	FGR proto-oncogene, Src family tyrosine kinase	chr1	27612064	27635185
ENSG00000000971.15	CFH	protein_coding	2359.67	complement factor H	chr1	196651754	196752476
ENSG00000001036.13	FUCA2	protein_coding	2044.24	alpha-L-fucosidase 2	chr6	143494812	143511720
ENSG00000001084.13	GCLC	protein_coding	2503.33	glutamate-cysteine ligase catalytic subunit	chr6	53497341	53616970
ENSG00000001167.14	NFYA	protein_coding	2558.99	nuclear transcription factor Y subunit alpha	chr6	41072974	41102403
ENSG00000001460.18	STPG1	protein_coding	2593.05	sperm tail PG-rich repeat containing 1	chr1	24356999	24416934
ENSG00000001461.17	NIPAL3	protein_coding	2558.91	NIPA like domain containing 3	chr1	24415802	24472976
ENSG00000001497.16	LAS1L	protein_coding	2232.45	LAS1 like ribosome biogenesis factor	chrX	65438549	65534810
ENSG00000001561.7	ENPP4	protein_coding	4644	ectonucleotide pyrophosphatase/phosphodiesterase 4	chr6	46129989	46146688
ENSG00000001617.12	SEMA3F	protein_coding	2173.48	semaphorin 3F	chr3	50155045	50189075
ENSG00000001626.15	CFTR	protein_coding	1848.89	CF transmembrane conductance regulator	chr7	117287120	117715971
ENSG00000001629.10	ANKIB1	protein_coding	1087.79	ankyrin repeat and IBR domain containing 1	chr7	92245974	92401383
ENSG00000001630.17	CYP51A1	protein_coding	2946.59	cytochrome P450 family 51 subfamily A member 1	chr7	92084987	92134803
ENSG00000001631.15	KRIT1	protein_coding	1563.28	KRIT1 ankyrin repeat containing	chr7	92197498	92246166
ENSG00000002016.17	RAD52	protein_coding	1481.18	RAD52 homolog, DNA repair protein	chr12	911736	990053
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	1984.6	myosin heavy chain 16 pseudogene	chr7	99238829	99311130
ENSG00000002330.13	BAD	protein_coding	847.54	BCL2 associated agonist of cell death	chr11	64269830	64284704
ENSG00000002549.12	LAP3	protein_coding	1439.82	leucine aminopeptidase 3	chr4	17577198	17607972
ENSG00000002586.20	CD99	protein_coding	564.42	CD99 molecule (Xg blood group)	chrX	2691187	2741309
ENSG00000002586.20_PAR_Y	CD99	protein_coding	1054.57	CD99 molecule (Xg blood group)	chrX	2691187	2741309
ENSG00000002587.10	HS3ST1	protein_coding	7160	heparan sulfate-glucosamine 3-sulfotransferase 1	chr4	11393150	11429564
ENSG00000002726.20	AOC1	protein_coding	2042.29	amine oxidase copper containing 1	chr7	150824627	150861504
ENSG00000002745.13	WNT16	protein_coding	2190	Wnt family member 16	chr7	121325367	121341104
ENSG00000002746.15	HECW1	protein_coding	2134.91	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	chr7	43112629	43566001
ENSG00000002822.15	MAD1L1	protein_coding	2001.62	mitotic arrest deficient 1 like 1	chr7	1815793	2233243
ENSG00000002834.18	LASP1	protein_coding	3251.22	LIM and SH3 protein 1	chr17	38869859	38921770
ENSG00000002919.14	SNX11	protein_coding	1653.14	sorting nexin 11	chr17	48103357	48123601
ENSG00000002933.9	TMEM176A	protein_coding	1087.91	transmembrane protein 176A	chr7	150800403	150805118
ENSG00000003056.8	M6PR	protein_coding	882.68	mannose-6-phosphate receptor, cation dependent	chr12	8940361	8949761
ENSG00000003096.14	KLHL13	protein_coding	3211.08	kelch like family member 13	chrX	117897813	118117340
ENSG00000003137.8	CYP26B1	protein_coding	4025	cytochrome P450 family 26 subfamily B member 1	chr2	72129238	72147862
ENSG00000003147.19	ICA1	protein_coding	549.74	islet cell autoantigen 1	chr7	8113184	8262687
ENSG00000003249.13	DBNDD1	protein_coding	1930.8	dysbindin domain containing 1	chr16	90004871	90019890
ENSG00000003393.15	ALS2	protein_coding	3391.41	alsin Rho guanine nucleotide exchange factor ALS2	chr2	201700267	201782112
ENSG00000003400.14	CASP10	protein_coding	2797.84	caspase 10	chr2	201182872	201229428
ENSG00000003402.20	CFLAR	protein_coding	2783.66	CASP8 and FADD like apoptosis regulator	chr2	201116154	201176687
ENSG00000003436.16	TFPI	protein_coding	1903.07	tissue factor pathway inhibitor	chr2	187464230	187565760
ENSG00000003509.16	NDUFAF7	protein_coding	1368.98	NADH:ubiquinone oxidoreductase complex assembly factor 7	chr2	37231631	37253403
ENSG00000003756.16	RBM5	protein_coding	1486.08	RNA binding motif protein 5	chr3	50088919	50119021
ENSG00000003987.14	MTMR7	protein_coding	1279.67	myotubularin related protein 7	chr8	17296794	17413528
ENSG00000003989.17	SLC7A2	protein_coding	7557.5	solute carrier family 7 member 2	chr8	17497088	17570573
ENSG00000004059.11	ARF5	protein_coding	941.95	ADP ribosylation factor 5	chr7	127588386	127591700
ENSG00000004139.14	SARM1	protein_coding	5821.48	sterile alpha and TIR motif containing 1	chr17	28364356	28404049
ENSG00000004142.12	POLDIP2	protein_coding	2353.95	DNA polymerase delta interacting protein 2	chr17	28346633	28357527
ENSG00000004399.12	PLXND1	protein_coding	2402.75	plexin D1	chr3	129555214	129606676
ENSG00000004455.16	AK2	protein_coding	1319.94	adenylate kinase 2	chr1	33007986	33080996
ENSG00000004468.13	CD38	protein_coding	4182.72	CD38 molecule	chr4	15778275	15853232
ENSG00000004478.8	FKBP4	protein_coding	2858.99	FKBP prolyl isomerase 4	chr12	2794970	2805423
ENSG00000004487.16	KDM1A	protein_coding	2816.4	lysine demethylase 1A	chr1	23019443	23083689
ENSG00000004534.15	RBM6	protein_coding	1805.29	RNA binding motif protein 6	chr3	49940007	50100045
ENSG00000004660.14	CAMKK1	protein_coding	3575.66	calcium/calmodulin dependent protein kinase kinase 1	chr17	3860315	3894891
ENSG00000004700.16	RECQL	protein_coding	2394.84	RecQ like helicase	chr12	21468910	21501669
ENSG00000004766.17	VPS50	protein_coding	1541.71	VPS50 subunit of EARP/GARPII complex	chr7	93232340	93361123
ENSG00000004776.13	HSPB6	protein_coding	1460	heat shock protein family B (small) member 6	chr19	35754566	35758079
ENSG00000004777.18	ARHGAP33	protein_coding	2187.21	Rho GTPase activating protein 33	chr19	35774532	35788822
ENSG00000004779.10	NDUFAB1	protein_coding	662.39	NADH:ubiquinone oxidoreductase subunit AB1	chr16	23581014	23596316
ENSG00000004799.8	PDK4	protein_coding	1328.08	pyruvate dehydrogenase kinase 4	chr7	95583499	95596516
ENSG00000004809.14	SLC22A16	protein_coding	1754.17	solute carrier family 22 member 16	chr6	110424687	110476641
ENSG00000004838.14	ZMYND10	protein_coding	1448.64	zinc finger MYND-type containing 10	chr3	50341110	50345732
ENSG00000004846.16	ABCB5	protein_coding	2554	ATP binding cassette subfamily B member 5	chr7	20615667	20777038
ENSG00000004848.8	ARX	protein_coding	664.8	aristaless related homeobox	chrX	25003694	25016420
